127.0.0.1 - - [29/Oct/2020:20:31:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:07 +0900] "GET /dashboard/ HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/board/student HTTP/1.1" 200 18662
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 58935
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/css/sb-admin-2.min.css HTTP/1.1" 200 221946
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 81084
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/js/sb-admin-2.min.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/vendor/chart.js/Chart.min.js HTTP/1.1" 200 306790
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 146170
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/js/demo/chart-pie-demo.js HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/js/demo/chart-area-demo.js HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [29/Oct/2020:20:31:14 +0900] "GET /dashboard/resources/js/demo/studies-datatables-demo.js HTTP/1.1" 200 103
